OpportunityServiceLine,ClientSector,AccountName,ProspectClientName,OpportunityName,Stage,ProbaOfWin,EffectiveOpenDate,AnticipatedWinDate,EffectiveCloseDate,OpportunityPartnerName,PursuitLeaderName,ManagedByName,PursuitTeamName,IdentifiedByName,PACEStatus,RelatedEngagements,Currency,TotalValueOfPotentialSale,TotalValueTND,OpportunitySubSL,OriginalOpportunityID,OpportunityID,MS,SSL1,Country,Region
tax,Banking & Capital Markets,Schmidt Ltd/Rose Webb,Schmidt Ltd/Rose Webb,Intuitive zero-defect Internet solution,Identify,20,2023-06-16,2023-11-18,,Zachary Garcia,Mary Cunningham,Candace Robinson%,Margaret Clements,Joseph Mosley,,,USD,74.08431323570308,74.08431323570308,tax,E61847482,E61847482-1,FS,Law,Mauritanie,Afrique
tax,Defense,Lee Ltd/Tyler Ortiz,Lee Ltd/Tyler Ortiz,Fundamental eco-centric conglomeration,Pursue,55,2023-03-15,2023-03-31,,Brian Underwood,Tammy Meza,Suzanne Bray%,Dale Rodriguez,Michael Wheeler,,,USD,77.5268430758774,77.5268430758774,tax,E61528972,E61528972-2,GPS,GCR,Koweït,Asie
sat,Wealth & Asset Management,Phillips-Hancock/Emily Miller,Phillips-Hancock/Emily Miller,Ameliorated holistic analyzer,Closing,75,2021-04-30,2022-09-22,,Michael Adams,Sarah Newton,Stephen Carrillo%,Bryan King,David Johnson,,,USD,95.37819233881902,95.37819233881902,sat,E67932232,E67932232-3,FS,EY-P,Lesotho,Afrique
sat,Wealth & Asset Management,"Nunez, Skinner and English/Dakota Bennett","Nunez, Skinner and English/Dakota Bennett",Open-source fault-tolerant open system,Closing,75,2022-03-30,2023-01-24,,Thomas Moore DVM,Amber Stanton,Brian Martinez%,Lauren Dunn,Mr. Spencer Bowen,,,USD,57.43377090481302,57.43377090481302,sat,E63651412,E63651412-4,FS,EY-P,Koweït,Asie
tax,Defense,Edwards Inc/Sarah Howell,Edwards Inc/Sarah Howell,Mandatory coherent circuit,Qualify,40,2021-01-12,2023-09-09,,Erica Hickman,Patricia James,Shannon Navarro%,Mr. Tracy Ryan,Mario Carlson,,,USD,63.481980912955564,63.481980912955564,tax,E66039021,E66039021-5,GPS,GCR,Maroc,Afrique
assurance,Health,Johnson Ltd/Thomas Gibson,Johnson Ltd/Thomas Gibson,Horizontal asymmetric toolset,Qualify,35,2022-02-28,2022-03-03,,Eric Hill,Michael Andrews,Kimberly English DVM%,Jessica Hart MD,Jacob Vaughan,,,USD,54.85492560818072,54.85492560818072,assurance,E68799509,E68799509-6,GPS,Other Assurance,Sierra Leone,Afrique
tax,Infrastructure,"Villegas, Williams and Moody/Christopher Hayes","Villegas, Williams and Moody/Christopher Hayes",Universal 24/7 strategy,Closing,100,2023-01-05,2023-03-27,,Courtney Warner,Dennis Barker,David Garcia%,Donald Hoffman,Kevin Santana,,,EUR,69.10770410111465,69.10770410111465,tax,E61960083,E61960083-7,GPS,PAS,Allemagne,Europe
tax,Defense,"Campbell, Ballard and Thomas/Tiffany Jordan","Campbell, Ballard and Thomas/Tiffany Jordan",Digitized exuding software,Won,5,2022-09-25,2022-04-08,2021-06-26 00:00:00,Samantha Allen,Joshua Krueger,Ashley Lopez%,Jamie Lara,Kelly Gonzalez,approved,,USD,66.48343982813391,66.48343982813391,tax,E64162429,E64162429-8,GPS,Indirect,Qatar,Asie
sat,Insurance,Koch Ltd/Travis Wolf,Koch Ltd/Travis Wolf,Enterprise-wide multi-state firmware,Identify,20,2022-04-11,2022-12-10,,Nancy Little,James Bishop,Austin Duffy%,Kimberly Mahoney,Bryce Hart,,,USD,90.41056268523675,90.41056268523675,sat,E68763098,E68763098-9,FS,Transactions & Corporate Finance,Kenya,Afrique
sat,Media & Entertainment,"Bullock, French and Holt/Sarah Huerta","Bullock, French and Holt/Sarah Huerta",Team-oriented non-volatile core,Qualify,45,2022-06-11,2022-06-21,,Kimberly Mcdonald,Charles Arnold,Alexander Ray%,Rebecca Anderson,Michelle Hull,,,EUR,85.11505833783575,85.11505833783575,sat,E62076256,E62076256-10,TMT,Transactions & Corporate Finance,Russie,Europe
sat,Infrastructure,Hutchinson Group/Michael Turner,Hutchinson Group/Michael Turner,Networked 24/7 paradigm,Lost,20,2021-10-05,2021-12-19,,Jennifer Parker,Jennifer Mann,James Daniels%,Julie Rojas,Mr. Michael Hall Jr.,,,USD,78.66735313770835,78.66735313770835,sat,E67741013,E67741013-11,GPS,Transactions & Corporate Finance,Angola,Afrique
consulting,Wealth & Asset Management,Gallegos-Ferrell/Logan Grant,Gallegos-Ferrell/Logan Grant,Virtual secondary encryption,Closing,100,2022-08-21,2022-02-12,,Tamara Pena,Timothy Brown,Devin Williams%,Jeremy Taylor,Stephen Williams,,,EUR,80.26518370924404,80.26518370924404,consulting,E61153344,E61153344-12,FS,Technology Assurance,Pologne,Europe
assurance,startup,Griffith LLC/Cathy Adams,Griffith LLC/Cathy Adams,Cross-platform 24/7 matrix,Qualify,50,2022-08-05,2022-04-05,,William Stein,Paul Crawford,Tracy Russell%,Billy Fritz,Jenna Curtis,,,EUR,98.70131079272187,98.70131079272187,assurance,E67542726,E67542726-13,Private,Other Assurance,Lettonie,Europe
consulting,Defense,Stanley PLC/Charles Garza,Stanley PLC/Charles Garza,Integrated grid-enabled analyzer,Declined,20,2022-02-13,2023-02-14,,Brian Ellis,David Wolfe,James Horn%,Jared Lawrence,Joseph Jones,,,EUR,89.33323120877375,89.33323120877375,consulting,E67532313,E67532313-14,GPS,Compliance and Resilience,Angleterre,Europe
sat,Wealth & Asset Management,"Hunt, Mendez and Mullins/Dr. Nathan Gallegos MD","Hunt, Mendez and Mullins/Dr. Nathan Gallegos MD",Upgradable upward-trending complexity,Qualify,30,2021-04-17,2023-01-26,,Suzanne Thompson,Brian Lewis,Keith Beck%,Carl Hunter,Anna Kemp,,,EUR,79.3402450645429,79.3402450645429,sat,E67023311,E67023311-15,FS,Transactions & Corporate Finance,Angleterre,Europe
consulting,Banking & Capital Markets,Downs Ltd/Andrew Wright,Downs Ltd/Andrew Wright,Object-based tertiary paradigm,Pursue,70,2022-12-28,2022-07-15,,Erika Scott,Lisa Washington,Miguel Johnson%,Karen Foster,Angela Roy MD,,,USD,67.23621717165962,67.23621717165962,consulting,E62380004,E62380004-16,FS,Technology,Gabon,Afrique
consulting,startup,"Parker, Wallace and Hines/Monica Clarke","Parker, Wallace and Hines/Monica Clarke",Front-line exuding Internet solution,Identify,10,2022-04-29,2022-11-29,,Michael Mitchell,Lindsey Marquez,Amanda Santiago%,William Pennington,Kathryn Carson,,,USD,90.7771636901014,90.7771636901014,consulting,E62034312,E62034312-17,Private,Supply Chain & Operations,Mali,Afrique
tax,startup,Harris-Mendoza/Gabrielle Reed,Harris-Mendoza/Gabrielle Reed,Future-proofed zero-defect collaboration,Closing,5,2023-09-08,2023-01-12,,Amy Sawyer,Jill Moore,Tyler Ross%,Shawn Patterson,Jason Morris,,,USD,50.630085357403246,50.630085357403246,tax,E67886637,E67886637-18,Private,BTS,Comores,Afrique
consulting,Health,Johnson LLC/Mark Castillo,Johnson LLC/Mark Castillo,Fully-configurable 24hour hierarchy,Identify,20,2023-09-30,2022-02-19,,Darren Lowe,Theresa Winters,Morgan Davis%,Aaron Harper,Jennifer Meyer,,,USD,82.98295367979154,82.98295367979154,consulting,E63979958,E63979958-19,GPS,Technology Assurance,Côte d’Ivoire,Afrique
consulting,Telecommunications,Sawyer Group/Dylan Young,Sawyer Group/Dylan Young,Open-architected 24hour time-frame,Lost,5,2022-01-18,2022-08-21,,Christopher Palmer,Timothy Carey,Randall Fernandez%,Amy Jacobs,Felicia Lyons,,,USD,67.464428574643,67.464428574643,consulting,E61029894,E61029894-20,TMT,Sustainability,Mauritanie,Afrique
assurance,Insurance,Chambers and Sons/Steven Mcdaniel,Chambers and Sons/Steven Mcdaniel,Persevering multi-tasking solution,Lost,100,2022-08-06,2022-09-24,,Donna Greene,Barbara Oconnor,Lisa Shaffer%,Meghan Davis,Terry Vance,,,USD,96.52598514602448,96.52598514602448,assurance,E64743267,E64743267-21,FS,Other Assurance,Lesotho,Afrique
tax,Telecommunications,Wright LLC/Melissa Henry,Wright LLC/Melissa Henry,Switchable neutral utilization,Pursue,50,2023-05-30,2022-05-10,,Kathy Brown,Steven Osborne,David Lopez%,Richard Stephens,Amanda Singh,,,EUR,50.207016094488374,50.207016094488374,tax,E64645903,E64645903-22,TMT,International Tax Transaction Services,Lettonie,Europe
tax,Telecommunications,"Miller, Murphy and Chambers/Gregory Ramirez","Miller, Murphy and Chambers/Gregory Ramirez",Reverse-engineered zero administration groupware,Declined,5,2021-08-05,2022-10-23,,Joshua Harrison,Beth Christian,Erin Hunt%,Allison Harris,Henry Alexander,,,USD,74.08192276798597,74.08192276798597,tax,E66057088,E66057088-23,TMT,PAS,Émirats arabes unis,Asie
assurance,Infrastructure,"Henderson, Woods and Perez/Michael Petersen","Henderson, Woods and Perez/Michael Petersen",Re-engineered clear-thinking definition,Qualify,45,2022-08-07,2022-06-02,,Jennifer Hall,Benjamin Johnson,Michael Herrera%,Rachel Woodward,Nancy Gomez,,,USD,87.52920272354578,87.52920272354578,assurance,E69747024,E69747024-24,GPS,CCaSS,Maroc,Afrique
tax,Infrastructure,"Brown, Galvan and Green/Gordon Miller","Brown, Galvan and Green/Gordon Miller",Polarized explicit support,Identify,20,2022-01-31,2023-06-23,,Bryan Jones,Sandy Martinez,Mrs. Nicole Jones%,Laurie Vasquez,Alyssa Norman,,,EUR,61.959659416064305,61.959659416064305,tax,E62007766,E62007766-25,GPS,International Tax Transaction Services,République tchèque,Europe
consulting,Insurance,"King, Ewing and Hill/Pamela Jackson","King, Ewing and Hill/Pamela Jackson",Function-based 24hour policy,Identify,15,2021-08-21,2021-08-23,,Glenn Moody,Steven Gallegos,Casey Wilkinson%,Shawn Austin,Megan Clark,,,EUR,95.35948117568815,95.35948117568815,consulting,E67618430,E67618430-26,FS,Sustainability,Allemagne,Europe
tax,Telecommunications,Thomas-Jones/Amy Noble,Thomas-Jones/Amy Noble,Open-source intangible groupware,Won,20,2021-06-20,2022-12-05,2021-10-05 00:00:00,Natasha Gray,Robert Barton,Desiree Edwards%,Anna Wilkins,Christina Wallace,approved,,EUR,99.33701862735091,99.33701862735091,tax,E65158815,E65158815-27,TMT,PAS,Pays-Bas,Europe
assurance,Banking & Capital Markets,"Smith, Moore and Zhang/Logan Parsons","Smith, Moore and Zhang/Logan Parsons",Customizable non-volatile adapter,Identify,15,2023-09-10,2021-11-19,,Paul Rodriguez,Michael Velasquez,James Sanders%,Shelby White,Amanda Ross,,,EUR,62.19920832098511,62.19920832098511,assurance,E65741003,E65741003-28,FS,Other Assurance,Lettonie,Europe
sat,Defense,"Ellison, Estrada and Mays/Laurie Moran","Ellison, Estrada and Mays/Laurie Moran",Future-proofed well-modulated projection,Pursue,75,2023-03-30,2023-06-03,,Robert Smith,Timothy Watson,Willie Sandoval%,Albert Walters,Christina Wilson,,,EUR,58.778738067465966,58.778738067465966,sat,E68127599,E68127599-29,GPS,Transactions & Corporate Finance,Espagne,Europe
sat,Wealth & Asset Management,"Campbell, Krueger and Mitchell/Julie Harris","Campbell, Krueger and Mitchell/Julie Harris",Polarized responsive functionalities,Won,100,2021-01-01,2021-08-19,2021-09-27 00:00:00,Breanna Lopez,James Dorsey,Kenneth Thomas%,Jesse Lee,Dustin Elliott MD,approved,,USD,82.1059941654362,82.1059941654362,sat,E64722183,E64722183-30,FS,EY-P,Madagascar,Afrique
tax,Telecommunications,"Todd, Wilson and Acosta/Dr. Adrian Smith","Todd, Wilson and Acosta/Dr. Adrian Smith",Multi-tiered stable matrix,Identify,10,2021-04-10,2022-01-12,,Nicole Martinez,Justin Johnson,Sandy Thomas%,Tammy Wong,Rebecca Bush,,,USD,66.23873117523371,66.23873117523371,tax,E65965542,E65965542-31,TMT,PAS,Lesotho,Afrique
assurance,Media & Entertainment,Sims Inc/Alyssa Cunningham,Sims Inc/Alyssa Cunningham,Implemented composite workforce,Declined,5,2022-05-23,2021-04-25,,Jennifer Beck,Lauren Reese,Christina Melton%,Daniel Brown,Tanner Williams,,,EUR,75.33619684155485,75.33619684155485,assurance,E65180758,E65180758-32,TMT,CCaSS,Pays-Bas,Europe
sat,Technology,Campbell-Vargas/Stephanie Ramirez,Campbell-Vargas/Stephanie Ramirez,Stand-alone next generation archive,Identify,10,2023-04-05,2023-04-28,,Michael Simmons,Jo Miller,Lauren Tran%,Kathleen Cruz,Sue Daugherty,,,USD,72.87095105199111,72.87095105199111,sat,E69652143,E69652143-33,TMT,Transactions & Corporate Finance,Lesotho,Afrique
