OpportunityServiceLine,ClientSector,AccountName,ProspectClientName,OpportunityName,Stage,ProbaOfWin,EffectiveOpenDate,AnticipatedWinDate,EffectiveCloseDate,OpportunityPartnerName,PursuitLeaderName,ManagedByName,PursuitTeamName,IdentifiedByName,PACEStatus,RelatedEngagements,Currency,TotalValueOfPotentialSale,TotalValueTND,OpportunitySubSL,OriginalOpportunityID,OpportunityID,MS,SSL1,Country,Region
assurance,Media & Entertainment,King-Schneider/Donald Cruz,King-Schneider/Donald Cruz,Devolved 4thgeneration solution,Qualify,25,2021-07-17,2021-12-07,,Roger Sanchez,Bradley Miller,Kendra Meyer%,Jason Mullins MD,Frank Thompson,,,USD,67.96556160983114,67.96556160983114,assurance,E68853016,E68853016-1,TMT,Other Assurance,Éthiopie,Afrique
assurance,startup,"Christensen, Ortiz and Garcia/Amanda Guerrero","Christensen, Ortiz and Garcia/Amanda Guerrero",Synchronized stable ability,Identify,10,2021-07-24,2021-11-21,,Gabriel Long,Scott Jones,Dr. Jennifer Davis DVM%,Courtney Clark,Chase Powell,,,USD,56.39812031455396,56.39812031455396,assurance,E61043372,E61043372-2,Private,FAAS,Cameroun,Afrique
sat,Health,Martinez-Deleon/Lori Humphrey,Martinez-Deleon/Lori Humphrey,Multi-tiered composite time-frame,Closing,100,2022-09-28,2022-11-16,,Mariah Hood,Vanessa Gardner,Samuel Goodman%,Randy Diaz,Julie Travis,,,USD,66.56469675563203,66.56469675563203,sat,E61116004,E61116004-3,GPS,EY-P,Guinée,Afrique
tax,Wealth & Asset Management,Miller PLC/Mrs. Susan Johnson DVM,Miller PLC/Mrs. Susan Johnson DVM,Face-to-face scalable analyzer,Won,5,2023-04-01,2024-02-04,2024-04-10,Virginia Bradford,Crystal Parker,Candice Garner%,Christopher Foster,Jason Sims,approved,,EUR,81.85271488071025,81.85271488071025,tax,E67518001,E67518001-4,FS,Indirect,Danemark,Europe
assurance,startup,Wilson-Rose/Omar Ortiz,Wilson-Rose/Omar Ortiz,Versatile composite archive,Won,5,2022-02-05,2022-04-29,2022-07-06,Barbara Morales,Ryan Owens,Derek Walters%,Daniel Tate,Nicholas Nelson,approved,,USD,74.78438868961892,74.78438868961892,assurance,E63123622,E63123622-5,Private,Technology Assurance,Comores,Afrique
consulting,startup,Cummings-Duncan/Sara Cooper,Cummings-Duncan/Sara Cooper,Down-sized bottom-line focus group,Lost,20,2022-08-01,2023-07-26,,Carrie Small,Sean Contreras,Mary Strickland%,Rick Hardy,Jeffrey Adkins,,,USD,53.86955343019645,53.86955343019645,consulting,E65893913,E65893913-6,Private,Supply Chain & Operations,Maroc,Afrique
assurance,Defense,Daniels-Miller/Michael Mack,Daniels-Miller/Michael Mack,Public-key 6thgeneration time-frame,Identify,15,2023-03-07,2024-01-05,,Ryan Hamilton,Elizabeth Lawrence,Robert Carney%,Michael Serrano,Michael Khan,,,EUR,97.0003381475641,97.0003381475641,assurance,E63785495,E63785495-7,GPS,FAAS,Russie,Europe
tax,startup,"Hansen, Li and Powell/Natalie Bright","Hansen, Li and Powell/Natalie Bright",User-friendly client-server help-desk,Declined,20,2022-05-18,2023-02-19,,Matthew Rice,Jessica Reynolds,Mark Simpson%,Molly Knapp,Elizabeth Weber,,,USD,71.6990286115818,71.6990286115818,tax,E64864030,E64864030-8,Private,International Tax Transaction Services,Burkina Faso,Afrique
sat,Banking & Capital Markets,Watts-Simpson/Brandi Bradford,Watts-Simpson/Brandi Bradford,Grass-roots scalable paradigm,Closing,75,2021-07-04,2021-09-24,,Andrew Byrd,Danielle Ross,John Henry%,Justin Brown,Renee Torres,,,USD,78.98128885997681,78.98128885997681,sat,E66706917,E66706917-9,FS,Transactions & Corporate Finance,Madagascar,Afrique
sat,startup,Clark Group/Bruce Reeves,Clark Group/Bruce Reeves,Polarized asymmetric matrices,Lost,100,2022-01-16,2022-11-11,,Linda Krause,Tiffany Jimenez,Joe Ramirez%,Albert Hernandez,Justin Boyd DDS,,,USD,85.52085674352604,85.52085674352604,sat,E67912854,E67912854-10,Private,EY-P,République démocratique du Congo,Afrique
tax,Wealth & Asset Management,"Atkinson, Smith and Gonzalez/David Sullivan","Atkinson, Smith and Gonzalez/David Sullivan",Upgradable background migration,Won,100,2021-11-28,2021-11-30,2022-01-25,John Grant,James Gutierrez,George Baker%,Amber Graham,Crystal Peterson,approved,,USD,54.82462545167984,54.82462545167984,tax,E67909035,E67909035-11,FS,Indirect,Mauritanie,Afrique
assurance,Banking & Capital Markets,Potts-Parker/Ann Thomas,Potts-Parker/Ann Thomas,Organized real-time budgetary management,Declined,100,2021-02-03,2021-12-10,,James Payne,Linda Espinoza,Gina Moore%,George Jennings,Colin Davis,,,USD,89.2954755184808,89.2954755184808,assurance,E63921260,E63921260-12,FS,Finance,Angola,Afrique
assurance,Infrastructure,Rubio-Garcia/Michael Pierce,Rubio-Garcia/Michael Pierce,Persevering zero administration artificial intelligence,Identify,15,2023-03-30,2023-11-06,,Joseph Sutton,Douglas Johnson,Lisa Simpson%,Linda Melton,Ebony Stephens,,,USD,61.361972132917735,61.361972132917735,assurance,E68243346,E68243346-13,GPS,CCaSS,Sierra Leone,Afrique
assurance,startup,"Williams, Dixon and Kim/Justin Ross","Williams, Dixon and Kim/Justin Ross",De-engineered analyzing pricing structure,Closing,75,2023-12-25,2024-06-08,,Loretta Adams,Robert Knox,Felicia Lozano%,Carlos Cook,Steven Hart,,,USD,70.97618462157578,70.97618462157578,assurance,E63803872,E63803872-14,Private,Forensics,République démocratique du Congo,Afrique
sat,startup,Mcmahon LLC/Courtney Kim,Mcmahon LLC/Courtney Kim,Inverse optimal software,Lost,5,2021-12-11,2022-09-29,,Larry Butler,Scott Hoffman,Timothy Everett%,Julie Peters,Heather Sherman,,,USD,62.91512267904595,62.91512267904595,sat,E65326567,E65326567-15,Private,EY-P,Angola,Afrique
assurance,Media & Entertainment,"Terry, Clark and Davis/Brooke Hernandez","Terry, Clark and Davis/Brooke Hernandez",Team-oriented user-facing firmware,Closing,5,2022-10-15,2023-09-24,,Daniel Bradford,Megan Rivera,Dr. Cathy Bradley DVM%,Melvin Munoz DDS,Mathew Edwards,,,EUR,83.00854876800491,83.00854876800491,assurance,E68206224,E68206224-16,TMT,Finance,Belgique,Europe
assurance,Media & Entertainment,Lambert-Robertson/Brad Preston,Lambert-Robertson/Brad Preston,Seamless zero tolerance productivity,Qualify,20,2021-10-11,2021-11-02,,Jacob Saunders,Edwin Saunders,Madison Harris%,Tanya Diaz,Mark Rogers,,,USD,60.47641187175213,60.47641187175213,assurance,E67502010,E67502010-17,TMT,Audit & Governance,Burkina Faso,Afrique
consulting,Infrastructure,"Maxwell, Ibarra and Herrera/Mark Johnson","Maxwell, Ibarra and Herrera/Mark Johnson",Ameliorated scalable time-frame,Pursue,30,2022-06-15,2022-09-13,,Michelle Bray,Crystal Ruiz,Rachel Miranda%,Peggy Allen,Sarah Phillips,,,USD,65.73925461538715,65.73925461538715,consulting,E61346755,E61346755-18,GPS,Cybersecurity,Burkina Faso,Afrique
tax,Health,"Johnson, Jackson and Alvarez/Daniel Richardson","Johnson, Jackson and Alvarez/Daniel Richardson",Assimilated non-volatile framework,Lost,5,2022-08-06,2023-01-21,,Andre Palmer,Jennifer Montgomery,Mr. Danny Davis Jr.%,Benjamin Ortiz,Seth Avery,,,USD,59.15791102170442,59.15791102170442,tax,E62187364,E62187364-19,GPS,International Tax Transaction Services,Liban,Asie
assurance,Media & Entertainment,Young-Evans/Cassidy Johnson,Young-Evans/Cassidy Johnson,User-centric client-driven Local Area Network,Identify,15,2021-12-31,2022-11-22,,Lisa Arellano,Robin Young,Christine Daniel%,Kimberly Terry,Ronald Cervantes,,,USD,92.39053865282848,92.39053865282848,assurance,E61868386,E61868386-20,TMT,FAAS,Guinée,Afrique
consulting,Insurance,Kent-Torres/Molly Smith,Kent-Torres/Molly Smith,Front-line 5thgeneration Internet solution,Declined,5,2022-05-16,2022-12-20,,Marcus Ramirez,Amanda Wagner,Ian Sanders%,Roy Wheeler,Anne Lopez,,,EUR,96.1749351747696,96.1749351747696,consulting,E69262207,E69262207-21,FS,Supply Chain & Operations,Angleterre,Europe
tax,startup,Obrien-Mills/Michael Barrera,Obrien-Mills/Michael Barrera,Secured 3rdgeneration productivity,Declined,100,2022-09-05,2023-09-05,,Hayley Martin,Melinda Gibbs,Matthew Reed%,Nathan Reynolds,Mark Horton,,,USD,65.01583013351053,65.01583013351053,tax,E64823016,E64823016-22,Private,Indirect,Sénégal,Afrique
tax,Insurance,"Simmons, Wilson and Hernandez/Christopher Sanchez","Simmons, Wilson and Hernandez/Christopher Sanchez",Fully-configurable global support,Closing,75,2023-10-22,2023-12-22,,Laura Vargas,Bonnie Smith,Tanya Taylor%,Emily Romero,Martha Castro,,,USD,55.43752582404825,55.43752582404825,tax,E66175822,E66175822-23,FS,PAS,Burundi,Afrique
consulting,Infrastructure,Mcdonald-Schwartz/Krista Vasquez,Mcdonald-Schwartz/Krista Vasquez,Sharable value-added task-force,Closing,5,2023-05-16,2023-11-24,,Dr. Patrick Turner MD,Victoria King,Karen Petersen%,Donna Cooper,Robert Baldwin,,,USD,67.51399883564349,67.51399883564349,consulting,E67389958,E67389958-24,GPS,Risk,Qatar,Asie
consulting,startup,Mendez PLC/Virginia Moore,Mendez PLC/Virginia Moore,Self-enabling mobile intranet,Closing,5,2023-10-02,2023-10-03,,Jennifer Warren,Heidi Cox,Jesse Salazar%,William Cline,Blake Gibbs,,,USD,88.06618739124809,88.06618739124809,consulting,E62768343,E62768343-25,Private,Customer & Growth,Koweït,Asie
sat,Infrastructure,"Adkins, Williams and Morgan/Dr. Kristina Nichols","Adkins, Williams and Morgan/Dr. Kristina Nichols",Stand-alone local neural-net,Lost,20,2023-12-01,2024-10-20,,Robin Thompson,Diana Nolan,Christopher Rodgers%,Joshua Dunlap,Jessica Johnson,,,USD,79.0655687723168,79.0655687723168,sat,E69790221,E69790221-26,GPS,Transactions & Corporate Finance,Soudan,Afrique
tax,Media & Entertainment,White Group/Michael Salazar,White Group/Michael Salazar,Distributed maximized throughput,Pursue,40,2023-03-22,2023-05-19,,Lisa Reed,Arthur Newman,Alfred Nichols%,Debbie Dominguez,Joshua Soto,,,USD,73.42147222596583,73.42147222596583,tax,E61345321,E61345321-27,TMT,GCR,Émirats arabes unis,Asie
